Countries or Regions,Currency Code,Price,May Adjust Automatically
Türkiye,TRY,999.99,N
Afghanistan,USD,24.99,N
Albania,USD,24.99,N
Algeria,USD,24.99,N
Angola,USD,24.99,N
Anguilla,USD,24.99,N
Antigua and Barbuda,USD,24.99,N
Argentina,USD,24.99,N
Armenia,USD,24.99,N
Australia,AUD,39.99,N
Austria,EUR,24.99,N
Azerbaijan,USD,22.99,Y
Bahamas,USD,24.99,N
Bahrain,USD,29.99,N
Barbados,USD,24.99,N
Belarus,USD,22.99,Y
Belgium,EUR,24.99,N
Belize,USD,24.99,N
Benin,USD,17.99,N
Bermuda,USD,24.99,N
Bhutan,USD,24.99,N
Bolivia,USD,19.99,Y
Bosnia and Herzegovina,EUR,24.99,N
Botswana,USD,17.99,N
Brazil,BRL,129.9,Y
British Virgin Islands,USD,24.99,N
Brunei,USD,24.99,N
Bulgaria,EUR,24.99,N
Burkina Faso,USD,17.99,N
Cambodia,USD,24.99,N
Cameroon,USD,17.99,N
Canada,CAD,29.99,N
Cape Verde,USD,24.99,N
Cayman Islands,USD,24.99,N
Chad,USD,17.99,N
Chile,CLP,22990,Y
China mainland,CNY,168.0,N
Colombia,COP,99900.0,Y
"Congo, Democratic Republic of the",USD,19.99,Y
"Congo, Republic of the",USD,19.99,Y
Costa Rica,USD,24.99,N
Côte d’Ivoire,USD,22.99,Y
Croatia,EUR,24.99,N
Cyprus,EUR,24.99,N
Czech Republic,CZK,499.0,Y
Denmark,DKK,179.0,Y
Dominica,USD,19.99,Y
Dominican Republic,USD,19.99,Y
Ecuador,USD,19.99,Y
Egypt,EGP,999.99,Y
El Salvador,USD,19.99,Y
Estonia,EUR,22.99,Y
Eswatini,USD,19.99,Y
Fiji,USD,19.99,Y
Finland,EUR,24.99,N
France,EUR,24.99,N
Gabon,USD,24.99,N
Gambia,USD,19.99,Y
Georgia,USD,22.99,Y
Germany,EUR,24.99,N
Ghana,USD,22.99,Y
Greece,EUR,22.99,Y
Grenada,USD,19.99,Y
Guatemala,USD,19.99,Y
Guinea-Bissau,USD,19.99,Y
Guyana,USD,19.99,Y
Honduras,USD,19.99,Y
Hong Kong,HKD,168.0,N
Hungary,HUF,7990,N
Iceland,USD,22.99,Y
India,INR,1999.0,Y
Indonesia,IDR,349000,Y
Iraq,USD,19.99,Y
Ireland,EUR,24.99,N
Israel,ILS,79.9,N
Italy,EUR,22.99,Y
Jamaica,USD,24.99,N
Japan,JPY,3000,Y
Jordan,USD,19.99,Y
Kazakhstan,KZT,11990.0,Y
Kenya,USD,22.99,Y
"Korea, Republic of",KRW,29000,Y
Kosovo,EUR,22.99,Y
Kuwait,USD,24.99,N
Kyrgyzstan,USD,19.99,Y
Laos,USD,24.99,N
Latvia,EUR,22.99,Y
Lebanon,USD,19.99,Y
Liberia,USD,19.99,Y
Libya,USD,19.99,Y
Lithuania,EUR,22.99,Y
Luxembourg,EUR,22.99,Y
Macau,USD,19.99,Y
Madagascar,USD,19.99,Y
Malawi,USD,19.99,Y
Malaysia,MYR,99.9,Y
Maldives,USD,24.99,N
Mali,USD,19.99,Y
Malta,EUR,22.99,Y
Mauritania,USD,19.99,Y
Mauritius,USD,22.99,Y
Mexico,MXN,399.0,Y
Micronesia,USD,24.99,N
Moldova,USD,22.99,Y
